ID,manufacturer,series,model,chipset,variant,vram_gb,memory_type,bus_bit,product_code,notes,category
1,ASUS,RTX 50,RTX 5070 Ti,GeForce,PRIME OC,16,GDDR7,256,PRIME-RTX5070TI-O16G,,PC
2,ASUS,RTX 50,RTX 5060,GeForce,Dual OC,8,GDDR7,128,DUAL-RTX5060-O8G,,PC
3,ASUS,RTX 50,RTX 5060 Ti,GeForce,Dual OC,16,GDDR7,128,DUAL-RTX5060TI-O16G,,PC
4,GIGABYTE,RTX 50,RTX 5070,GeForce,WINDFORCE OC SFF,12,GDDR7,192,GV-N5070WF3OC-12GD,,PC
5,GIGABYTE,RTX 50,RTX 5070 Ti,GeForce,WINDFORCE OC SFF,16,GDDR7,256,GV-N507TWF3OC-16GD,,PC
6,GIGABYTE,RTX 50,RTX 5080,GeForce,WINDFORCE OC SFF,16,GDDR7,256,GV-N5080WF3OC-16GD,,PC
7,ASUS,RTX 50,RTX 5070,GeForce,PRIME OC,12,GDDR7,192,PRIME-RTX5070-O12G,,PC
8,ASUS,RTX 50,RTX 5090,GeForce,ROG ASTRAL OC,32,GDDR7,512,ROG-ASTRAL-RTX5090-O32G,,PC
9,ASUS,RTX 30,RTX 3060,GeForce,Dual V2 OC,12,GDDR6,192,DUAL-RTX3060-O12G-V2,,PC
10,ASUS,RTX 50,RTX 5080,GeForce,PRIME OC,16,GDDR7,256,PRIME-RTX5080-O16G,,PC
11,ASUS,RTX 50,RTX 5070 Ti,GeForce,TUF Gaming OC,16,GDDR7,256,TUF-RTX5070TI-O16G,,PC
12,ASUS,RTX 50,RTX 5060 Ti,GeForce,PRIME OC,16,GDDR7,128,PRIME-RTX5060TI-O16G,,PC
13,Gainward,RTX 50,RTX 5070,GeForce,Python III,12,GDDR7,192,NE75070019K9-GB2050T,,PC
14,ASUS,RTX 50,RTX 5070 Ti,GeForce,ROG Strix OC,16,GDDR7,256,ROG-STRIX-RTX5070TI,,PC
15,Gainward,RTX 50,RTX 5060 Ti,GeForce,Python III,16,GDDR7,128,NE7506T019T1-GB2061T,,PC
16,ASUS,RTX 50,RTX 5080,GeForce,ROG ASTRAL OC,16,GDDR7,256,ROG-ASTRAL-RTX5080,,PC
17,MSI,RTX 50,RTX 5070 Ti,GeForce,GAMING TRIO OC,16,GDDR7,256,,,PC
18,ASUS,RTX 50,RTX 5070,GeForce,Dual OC,12,GDDR7,192,DUAL-RTX5070-O12G,,PC
19,ASUS,RTX 50,RTX 5070,GeForce,TUF Gaming OC,12,GDDR7,192,TUF-RTX5070-O12G,,PC
20,GIGABYTE,RTX 50,RTX 5060 Ti,GeForce,WINDFORCE MAX OC,16,GDDR7,128,GV-N506TWF2MAX,,PC
